2a,b,t,theta,l_(over+a),l_taper,K_1(0),K_1(90),K_1(180),e_l(Node1),e_theta(Node1),e_r(Node1),e_l(Node2),e_theta(Node2),e_r(Node2),e_l(Node3),e_theta(Node3),e_r(Node3),e_l(Node4),e_theta(Node4),e_r(Node4),e_l(Node5),e_theta(Node5),e_r(Node5),e_l(Node6),e_theta(Node6),e_r(Node6),e_l(Node7),e_theta(Node7),e_r(Node7)
8,5.603441799,2.008066253,0,45.01994009,0.52716976,13.47872031,15.83825787,13.11918276,96.22613312,543.2690956,-258.1848594,115.0222906,500.2653607,-250.5533768,97.72680425,560.5220913,-327.3104628,118.1905098,464.8136924,-264.3770249,94.87762027,410.9443691,-287.3930281,114.5546384,411.2244988,-306.9483588,118.7252457,446.6031938,-198.7672763
8,4.430125218,4.049539241,0,51.01695292,1.784573081,11.51933055,13.55738915,11.48127196,93.7571099,461.1525205,-188.8928779,97.04924516,532.4129697,-301.7343176,94.29481677,464.6980918,-263.9882542,80.62239858,485.6072429,-276.4781941,103.9691163,557.1866287,-202.738786,72.78376516,528.8339554,-313.6248973,80.50339196,474.0034443,-230.0473465
8,2.700042786,7.175884332,0,22.10229704,10.84683083,8.572092063,10.12450791,9.019676217,70.40481138,333.1365888,-170.2375467,76.8330161,462.5253499,-215.771139,43.40070014,475.2769646,-153.5140868,65.13602937,345.891703,-252.9796594,44.70033421,350.8713311,-213.3246602,80.4275901,513.9377602,-194.8780101,78.08237858,368.5806119,-274.6770069
8,4.670732109,2.413888895,0,55.90797731,12.33834173,12.52964124,14.75532556,12.30395692,112.3398137,554.0921756,-183.1117008,64.59266111,535.4191596,-323.2343566,100.4528108,379.660189,-235.5181409,60.07608379,537.4436197,-187.194151,117.6936482,382.1061559,-202.1387131,103.2569699,422.8816006,-193.6018056,91.22262358,461.0959742,-226.8591992
8,3.57880052,7.08283938,0,51.97393624,10.96259049,9.321620726,10.97121684,9.672024612,84.91274167,475.6928249,-254.6421223,83.16481848,358.5475929,-284.9943503,73.27755486,438.8201139,-275.2453565,44.38710003,353.402836,-186.1247526,91.2039247,335.7438851,-165.5246015,40.12537433,356.1178738,-257.6915587,55.32023286,420.9834817,-159.4238302
8,4.683947136,2.500112245,0,69.27554346,24.52519273,12.49710159,14.71548508,12.2787181,97.4164211,558.0378422,-270.7006062,86.08393703,562.4413822,-245.1806348,70.7820121,439.2828362,-326.1304164,116.2588573,478.7318347,-266.3503212,95.73368967,439.378442,-180.7563702,61.00920885,554.949673,-250.4933239,94.35944032,388.0544169,-265.0357925
8,4.122316619,7.233644819,0,49.75118417,20.46620717,9.681030886,11.36989807,9.992163706,66.45661071,337.0695315,-286.1576812,74.68790523,524.041923,-199.0096337,58.64351891,506.0711667,-201.287322,79.23707651,364.3865723,-236.5467312,44.12414507,474.5549142,-253.1992045,86.85105973,347.5411049,-158.5521947,79.3793651,413.3043613,-168.9469756
8,3.242151687,0.044282247,0,51.05127763,10.85697312,12.57158023,14.89136717,12.25179328,83.7101007,422.1436616,-345.8919852,123.9575055,468.1367358,-253.2100258,117.2132498,507.3590055,-245.4474818,117.9057215,458.4563482,-320.9381108,110.0844563,577.3356038,-242.4871224,128.7863967,479.7498901,-319.6230062,88.63147973,449.0477378,-309.9997186
8,3.194075624,7.787723826,0,26.53583697,18.84151429,8.661398586,10.20203377,9.120763406,71.61805796,494.6215576,-167.4925419,37.56989292,411.5776555,-173.5848018,33.33487885,471.1688151,-177.5303875,72.72960767,340.3534257,-193.315277,49.14974223,416.0837186,-179.8830783,35.83662579,426.9267894,-278.1894512,57.96779326,495.2017428,-172.919302
8,3.66157897,3.877112089,0,69.09789206,7.891294413,10.99070713,12.96915382,11.01226044,64.70803527,496.2544917,-290.3054227,97.78013283,369.6625761,-258.4831763,101.025415,560.7218448,-261.4403968,51.75933393,472.2350232,-190.252225,97.54930507,482.9155858,-173.471027,85.10404333,525.2966269,-239.0307961,77.71733545,365.9118465,-292.0685583
